"player","pos","age","team","games_played","games_started","min","fg","fga","fg_perc","threes_made","threes_att","threes_perc","twos_made","twos_att","twos_perc","efg_perc","ft","fta","ft_perc","o_reb","d_reb","tot_reb","ast","stl","blk","tover","fouls","pts","year","height","weight","college","yr_start","yr_retire","rookie","miss","eff","prim_pos","pos_num","year_exp"
"Antonio Lang","PF",24,"CLE",64,1,13.2,1.1,2.5,0.42,0,0.1,0,1.1,2.4,0.436,0.42,0.5,0.8,0.729,0.8,1.2,2,0.5,0.5,0.5,0.8,1.7,2.7,1996,80,205,"Duke",1995,2000,"Not Rookie",1.4,4,"PF",4,1
"Bobby Hurley","PG",25,"SAC",49,12,12.9,0.9,2.6,0.368,0.3,0.9,0.311,0.7,1.6,0.4,0.424,0.8,1.1,0.698,0.2,0.6,0.8,3,0.6,0.1,1.1,1.1,2.9,1996,72,165,"Duke",1994,1998,"Not Rookie",1.7,4.6,"PG",1,2
"Cherokee Parks","PF",24,"MIN",76,0,12.6,1.4,2.7,0.51,0,0,0,1.4,2.6,0.512,0.51,0.6,1,0.605,1.1,1.5,2.6,0.4,0.5,0.6,0.4,2,3.3,1996,83,235,"Duke",1996,2004,"Rookie",1.3,5.7,"PF",4,0
"Christian Laettner","PF",27,"ATL",82,82,38.3,6.7,13.8,0.486,0.4,1.1,0.352,6.3,12.7,0.497,0.5,4.4,5.4,0.816,2.6,6.2,8.8,2.7,1.2,0.8,2.7,3.4,18.1,1996,83,235,"Duke",1993,2005,"Not Rookie",7.1,21.8,"PF",4,3
"Danny Ferry","PF",30,"CLE",82,48,32.1,4.2,9.7,0.429,1.4,3.5,0.401,2.8,6.2,0.445,0.501,0.9,1.1,0.851,1,3.1,4.1,1.8,0.7,0.4,1.1,3,10.6,1996,82,230,"Duke",1991,2003,"Not Rookie",5.5,11,"PF",4,5
"Grant Hill","SF",24,"DET",80,80,39.3,7.8,15.7,0.496,0.1,0.4,0.303,7.7,15.3,0.502,0.5,5.6,7.9,0.711,1.5,7.5,9,7.3,1.8,0.6,3.2,2.3,21.4,1996,80,225,"Duke",1995,2013,"Not Rookie",7.9,29,"SF",3,1
"Antonio Lang","SF",25,"MIA",6,0,4.8,0.5,0.8,0.6,0,0,0,0.5,0.8,0.6,0.6,1,1.3,0.75,0.3,0.5,0.8,0.2,0.3,0,0.7,0.5,2,1997,80,205,"Duke",1995,2000,"Not Rookie",0.3,2.3,"SF",3,2
"Bobby Hurley","PG",26,"TOT",61,3,14.3,1.5,3.9,0.391,0.1,0.4,0.227,1.4,3.5,0.407,0.401,1,1.2,0.776,0.2,0.9,1.1,2.9,0.4,0,1.4,1.3,4.1,1997,72,165,"Duke",1994,1998,"Not Rookie",2.4,4.7,"PG",1,3
"Cherokee Parks","C",25,"MIN",79,43,21.6,2.8,5.7,0.499,0,0,0,2.8,5.7,0.5,0.499,1.4,2.1,0.651,1.8,3.8,5.5,0.7,0.5,1.1,0.8,3,7.1,1997,83,235,"Duke",1996,2004,"Not Rookie",2.9,11.2,"C",5,1
"Christian Laettner","PF",28,"ATL",74,49,30.8,4.8,9.9,0.485,0.1,0.4,0.222,4.7,9.5,0.495,0.489,4.1,4.8,0.864,1.9,4.7,6.6,2.6,1,1,2.5,3.3,13.8,1997,83,235,"Duke",1993,2005,"Not Rookie",5.1,17.4,"PF",4,4
"Danny Ferry","PF",31,"CLE",69,3,15,1.6,4.1,0.395,0.5,1.4,0.333,1.2,2.7,0.428,0.453,0.5,0.6,0.8,0.3,1.3,1.7,0.9,0.4,0.2,0.8,1.7,4.2,1997,82,230,"Duke",1991,2003,"Not Rookie",2.5,4.1,"PF",4,6
"Grant Hill","SF",25,"DET",81,81,40.7,7.6,16.8,0.452,0,0.3,0.143,7.6,16.5,0.457,0.453,5.9,8,0.74,1.1,6.5,7.7,6.8,1.8,0.7,3.5,2.4,21.1,1997,80,225,"Duke",1995,2013,"Not Rookie",9.2,25.4,"SF",3,2
"Antonio Lang","PF",26,"CLE",10,0,6.5,0.4,0.6,0.667,0,0,0,0.4,0.6,0.667,0.667,0.5,0.9,0.556,0.6,1,1.6,0.1,0.2,0.1,0.4,1.3,1.3,1998,80,205,"Duke",1995,2000,"Not Rookie",0.2,2.7,"PF",4,3
"Cherokee Parks","C",26,"MEM",48,41,23.3,2.5,5.7,0.429,0,0,0,2.5,5.7,0.431,0.429,0.6,1.1,0.545,1.6,3.5,5.1,0.8,0.6,0.6,1,2.4,5.5,1998,83,235,"Duke",1996,2004,"Not Rookie",3.2,8.4,"C",5,2
"Christian Laettner","PF",29,"DET",16,0,21.1,2.4,6.6,0.358,0.1,0.2,0.333,2.3,6.4,0.359,0.363,2.8,3.6,0.772,1.3,2.1,3.4,1.5,0.9,0.8,1.2,1.9,7.6,1998,83,235,"Duke",1993,2005,"Not Rookie",4.2,8.8,"PF",4,5
"Danny Ferry","PF",32,"CLE",50,10,21.2,2.8,5.9,0.476,0.8,1.9,0.392,2.1,4,0.518,0.541,0.6,0.7,0.879,0.3,1.7,2,1.1,0.5,0.2,0.8,2.3,7,1998,82,230,"Duke",1991,2003,"Not Rookie",3.1,6.9,"PF",4,7
"Grant Hill","SF",26,"DET",50,50,37,7.7,16,0.479,0,0.3,0,7.7,15.8,0.487,0.479,5.7,7.6,0.752,1.3,5.8,7.1,6,1.6,0.5,3.7,2.3,21.1,1998,80,225,"Duke",1995,2013,"Not Rookie",8.3,24.3,"SF",3,3
"Antonio Lang","SF",27,"TOT",10,0,3.8,0.1,0.6,0.167,0,0,0,0.1,0.6,0.167,0.167,0.4,0.5,0.8,0,0.5,0.5,0.2,0.4,0.1,0.2,0.8,0.6,1999,80,205,"Duke",1995,2000,"Not Rookie",0.5,1.1,"SF",3,4
"Cherokee Parks","C",27,"MEM",56,14,14.4,1.3,2.6,0.497,0,0,0,1.3,2.6,0.5,0.497,0.4,0.7,0.649,1,2.3,3.3,0.6,0.5,0.8,0.5,2.1,3,1999,83,235,"Duke",1996,2004,"Not Rookie",1.3,6.4,"C",5,3
"Christian Laettner","C",30,"DET",82,82,29.8,4.6,9.8,0.473,0.1,0.3,0.292,4.5,9.5,0.479,0.478,2.9,3.6,0.812,2.1,4.6,6.7,2.3,1,0.5,2.3,4,12.2,1999,83,235,"Duke",1993,2005,"Not Rookie",5.2,15.2,"C",5,6
